source,level,target
4629,4,4886
378,4,4886
142,4,4886
2715,4,4886
43,4,43
6199,4,6199
212,4,212
3108,4,3108
2629,4,2629
4639,4,5034
4637,4,5034
1146,4,5034
5012,4,5034
5034,4,5034
4388,4,5034
4638,4,5034
4650,4,5034
3554,4,3554
1159,4,1159
133,4,1159
485,4,485
4280,4,4280
4289,4,4280
4288,4,4280
1178,4,1178
2597,4,5631
5631,4,5631
4349,4,5631
4114,4,5631
3960,4,5631
3578,4,3206
7417,4,3206
3367,4,3206
2835,4,3206
6898,4,3206
5432,4,3206
5535,4,3206
5670,4,3206
5756,4,3206
7935,4,3206
3206,4,3206
7929,4,7929
4187,4,4187
7398,4,7398
6207,4,6207
6353,4,4851
4851,4,4851
2661,4,2661
3763,4,3763
3319,4,3319
2281,4,3319
6784,4,3319
3310,4,3319
3721,4,3319
959,4,3319
2280,4,3319
2877,4,2877
992,4,992
2262,4,2262
3635,4,3497
3497,4,3497
499,4,3497
3926,4,3497
497,4,3497
1339,4,3497
3927,4,3497
1846,4,1846
1303,4,1303
180,4,180
1300,4,423
423,4,423
5188,4,5188
2229,4,1862
1862,4,1862
993,4,1862
3857,4,1862
4648,4,1862
2088,4,1862
1044,4,1044
5309,4,5309
149,4,149
2366,4,2366
3770,4,2366
3779,4,2366
1857,4,1857
6537,4,6537
7379,4,7379
3579,4,3579
3400,4,3400
773,4,773
3614,4,3614
291,4,291
3306,4,803
5267,4,803
803,4,803
3523,4,3523
6536,4,6536
696,4,696
946,4,946
2961,4,946
3190,4,946
3315,4,3315
2636,4,2636
3599,4,3599
3456,4,411
3510,4,411
411,4,411
2949,4,411
3455,4,411
4794,4,411
3454,4,411
3509,4,411
3508,4,411
8410,4,411
6919,4,411
987,4,987
3465,4,3465
4159,4,4159
6134,4,6134
2427,4,2427
5154,4,5154
660,4,660
2631,4,2631
3073,4,3073
896,4,896
3321,4,896
2728,4,896
3550,4,896
3222,4,3222
520,4,520
2921,4,2921
719,4,719
2965,4,2965
10,4,10
750,4,750
4279,4,4279
1366,4,1366
5738,4,5738
1113,4,1113
442990,4,442990
3488,4,3488
4887,4,4887
2662,4,2662
3593,4,3593
1174,4,1174
6407,4,6407
5205,4,5205
6142,4,6142
3561,4,3561
4643,4,4643
4440,4,4643
2007,4,2007
295,4,295
1603,4,1603
3741,4,3741
6569,4,6569
1922,4,1922
c_6496f5ea,4,c_6496f5ea
2716,4,2716
4531,4,4531
3000,4,3000
269,4,269
8331,4,8328
8329,4,8328
8328,4,8328
8310,4,8328
8330,4,8328
5908,4,5908
8383,4,8383
4600,4,4600
1484,4,1484
2582,4,2582
1586,4,1586
4037,4,5344
4024,4,5344
350,4,5344
388,4,5344
4019,4,5344
3106,4,5344
5344,4,5344
2931,4,5344
1531,4,5344
2742,4,2742
3964,4,3964
1866,4,1866
6411,4,6411
622,4,622
2313,4,2313
5390,4,5390
2743,4,2743
6163,4,6163
1037,4,1037
5518,4,5519
6287,4,5519
5611,4,5519
5519,4,5519
7376,4,7376
c_90ad7755,4,c_90ad7755
1750,4,1750
1380,4,1380
2752,4,2752
4748,4,4748
2153,4,2153
159,4,3035
1093,4,3035
2091,4,3035
3035,4,3035
953,4,575
575,4,575
950,4,575
1319,4,1319
5607,4,5607
977,4,977
5336,4,5336
c_165899a6,4,c_165899a6
2092,4,2092
461,4,461
8450,4,8450
2204,4,846
4484,4,846
4476,4,846
1722,4,846
846,4,846
1719,4,846
390,4,390
3462,4,3462
2381,4,2381
616,4,616
483,4,483
2164,4,2164
c_b499ede2,4,574
8434,4,574
574,4,574
3951,4,574
1095,4,574
5570,4,574
7985,4,7985
6544,4,6544
2098,4,4646
4646,4,4646
5362,4,4646
649,4,649
1062,4,1062
6161,4,6161
5685,4,2913
2913,4,2913
5686,4,2913
3965,4,2913
4231,4,4231
6024,4,6024
2927,4,2927
3177,4,3177
2234,4,4514
193,4,4514
7358,4,4514
4657,4,4514
3430,4,4514
4514,4,4514
4175,4,4175
4262,4,4262
c_8b0ac3e2,4,c_8b0ac3e2
5787,4,5590
5904,4,5590
5419,4,5590
5872,4,5590
5590,4,5590
5866,4,5590
4250,4,4250
4131,4,4099
4099,4,4099
4122,4,4099
6369,4,4099
7136,4,4099
1357,4,1357
546,4,546
5296,4,5296
3460,4,3460
1949,4,3460
3464,4,3460
2613,4,2613
6728,4,877
877,4,877
3005,4,3005
c_16b63d4f,4,c_16b63d4f
3163,4,3163
439592,4,128
128,4,128
4475,4,4475
6911,4,6911
2375,4,855
2857,4,855
4439,4,855
1273,4,855
5339,4,855
855,4,855
3907,4,855
2100,4,2100
2615,4,2615
510,4,510
3828,4,3828
2232,4,2232
1287,4,1287
4350,4,4350
861,4,861
5858,4,5858
685,4,685
798,4,798
2667,4,982
4613,4,982
982,4,982
4905,4,4905
2782,4,2782
c_4e75f061,4,1210
6376,4,1210
1215,4,1210
8441,4,1210
1210,4,1210
1213,4,1210
1212,4,1210
7214,4,1210
7213,4,1210
5646,4,5646
2194,4,2194
3435,4,3435
4735,4,3435
4736,4,3435
4268,4,4268
748,4,748
6560,4,6560
1774,4,1774
1449,4,5370
5370,4,5370
5584,4,5474
5474,4,5474
5804,4,5474
5943,4,5474
865,4,865
5968,4,5968
8280,4,8280
1660,4,1660
3262,4,3262
6539,4,6539
8442,4,5667
5667,4,5667
6559,4,5667
5879,4,5879
5365,4,5365
6249,4,6249
475,4,475
1790,4,1790
837,4,837
2142,4,2142
6375,4,6375
c_406ad4cc,4,c_406ad4cc
4146,4,4146
7337,4,7337
4890,4,4890
3080,4,3080
1413,4,1413
1678,4,3977
4764,4,3977
3977,4,3977
2223,4,3977
6363,4,6363
6351,4,2868
2868,4,2868
829,4,829
728,4,728
1353,4,1353
6615,4,6615
5554,4,5554
1676,4,1676
4308,4,4308
2759,4,4308
4307,4,4308
c_667f2c16,4,4308
3135,4,4308
3217,4,6
6,4,6
1199,4,6
1952,4,2466
2466,4,2466
2394,4,2466
4226,4,2466
6902,4,2466
3240,4,2466
5410,4,1833
1833,4,1833
1907,4,1907
830,4,830
5264,4,5264
7952,4,7952
7974,4,7974
1693,4,1693
3664,4,3664
1294,4,1294
4356,4,4356
2975,4,2975
652,4,652
5411,4,5411
4696,4,4696
2062,4,2062
4732,4,4732
1576,4,1565
1572,4,1565
1574,4,1565
1569,4,1565
1566,4,1565
1565,4,1565
1570,4,1565
1575,4,1565
1403,4,1403
5616,4,5616
3498,4,3498
3880,4,3880
2689,4,2689
258,4,258
2829,4,2829
4075,4,4074
4076,4,4074
4074,4,4074
1229,4,1229
1499,4,1229
5046,4,1229
5971,4,1229
1042,4,1229
3667,4,3667
3048,4,3048
3604,4,2786
263,4,2786
3603,4,2786
2786,4,2786
2297,4,2297
447442,4,5455
5455,4,5455
1710,4,101
101,4,101
6027,4,5386
5386,4,5386
1656,4,5386
1902,4,1902
4591,4,4591
4940,4,4940
5463,4,4940
c_3212cc75,4,4940
5791,4,4940
c_d701b19c,4,4940
527,4,527
5837,4,5836
2942,4,5836
5145,4,5836
3980,4,5836
2941,4,5836
5836,4,5836
3979,4,5836
3978,4,5836
3719,4,3719
810,4,810
3733,4,3733
7872,4,7872
5030,4,5030
298,4,298
4571,4,4571
6247,4,6247
4155,4,4155
74,4,74
1758,4,1758
1098,4,1098
704,4,704
2846,4,2846
3530,4,3530
3414,4,3414
2503,4,3414
1983,4,3414
1320,4,1320
1892,4,1892
6384,4,1892
6385,4,1892
7209,4,7209
2089,4,2089
7399,4,7399
1798,4,1798
5199,4,1696
435299,4,1696
1696,4,1696
6779,4,1696
5920,4,1696
5919,4,1696
376,4,376
5882,4,4837
4837,4,4837
4112,4,4837
2471,4,4837
6612,4,6612
2391,4,2391
4167,4,4167
3726,4,3726
4274,4,4274
5161,4,4274
2338,4,4274
1940,4,4274
5112,4,4274
884,4,4274
5910,4,4274
5850,4,4274
3939,4,4274
2337,4,4274
3940,4,4274
5113,4,4274
1747,4,4274
5110,4,4274
4263,4,4263
1204,4,2411
2411,4,2411
1521,4,1521
3718,4,3718
2144,4,2144
417,4,132
132,4,132
109,4,132
4085,4,132
1715,4,132
2273,4,132
4340,4,132
3637,4,3650
5525,4,3650
5523,4,3650
3650,4,3650
3644,4,3650
91,4,3650
3328,4,3328
4018,4,4018
8398,4,8398
313,4,313
5216,4,5216
1900,4,3052
3052,4,3052
5075,4,5075
1122,4,1122
6750,4,1122
6564,4,6564
2537,4,2537
560,4,560
2374,4,756
2482,4,756
6031,4,756
756,4,756
2256,4,756
c_4c441ea0,4,c_4c441ea0
2658,4,2658
1131,4,2490
4249,4,2490
2490,4,2490
751,4,751
2999,4,2999
5892,4,5892
5955,4,5892
2083,4,2083
346,4,346
3242,4,3242
3799,4,3799
1489,4,1489
2996,4,2995
2995,4,2995
2997,4,2995
3431,4,3431
2419,4,2419
188,4,188
5011,4,188
4397,4,188
3922,4,3922
6017,4,6017
4035,4,4035
2929,4,2929
1646,4,1646
6236,4,1646
1648,4,1646
1647,4,1646
7949,4,1646
1343,4,1646
2922,4,2922
110,4,110
2612,4,2612
3757,4,3757
1421,4,1421
1227,4,3084
5038,4,3084
2028,4,3084
1651,4,3084
3084,4,3084
1713,4,3084
4950,4,4950
674,4,674
4822,4,4822
658,4,658
2259,4,2259
1167,4,1167
2963,4,2963
2973,4,2973
1384,4,1384
5927,4,1384
5500,4,1384
3610,4,1384
5466,4,1384
5532,4,1384
5888,4,1384
6400,4,6400
675,4,675
2084,4,2084
3317,4,3317
3499,4,3499
4776,4,4776
233,4,233
c_090e8e94,4,c_090e8e94
6160,4,6160
3082,4,3082
3767,4,3767
c_9104c45f,4,c_9104c45f
83,4,86
86,4,86
2870,4,86
4881,4,86
624,4,624
2072,4,2072
2646,4,2646
2833,4,2833
c_8a658bb0,4,c_8a658bb0
3374,4,3374
3571,4,3374
3363,4,3374
6051,4,3374
6084,4,3374
4678,4,4678
7849,4,7849
6397,4,6397
2314,4,2314
1657,4,1657
165,4,165
4166,4,165
1341,4,165
3728,4,165
2623,4,165
2959,4,2959
473,4,473
3545,4,3545
1637,4,1637
1932,4,1932
1663,4,1663
7378,4,7378
4169,4,4169
8437,4,8437
3491,4,3491
5041,4,5041
1838,4,1838
8418,4,8418
3557,4,3557
1076,4,1076
586,4,586
3891,4,3891
5954,4,5954
5126,4,5126
4091,4,4091
3176,4,3176
5925,4,5925
4028,4,4028
5459,4,3259
3259,4,3259
5538,4,3259
939,4,939
7926,4,7926
4545,4,4545
1989,4,2369
442850,4,2369
2369,4,2369
c_834b57c4,4,c_834b57c4
4873,4,4873
6561,4,6561
633,4,633
869,4,869
6240,4,6240
7991,4,6240
7992,4,6240
7990,4,6240
3198,4,3198
c_8f1cd55b,4,c_8f1cd55b
6364,4,6364
3042,4,3042
7927,4,7927
657,4,657
2676,4,2676
1081,4,1081
1518,4,1518
5208,4,5208
3154,4,3154
814,4,814
3114,4,3114
4210,4,4210
6194,4,6194
2873,4,2873
2025,4,2025
5508,4,5508
7857,4,7857
2484,4,2484
2480,4,2484
6702,4,6702
6723,4,6222
6724,4,6222
8480,4,6222
5630,4,6222
5552,4,6222
7986,4,6222
6222,4,6222
5761,4,6222
5550,4,6222
5035,4,5035
2388,4,309
471,4,309
309,4,309
3260,4,309
379,4,309
2455,4,2455
915,4,2455
1889,4,1889
1214,4,1214
c_acf7832d,4,c_acf7832d
1232,4,1232
8411,4,8411
5454,4,7208
5652,4,7208
7208,4,7208
5445,4,7208
3859,4,3859
699,4,699
3165,4,3165
957,4,957
1173,4,1173
551,4,551
5793,4,5793
2161,4,2161
746,4,746
2947,4,2947
3675,4,3675
5273,4,5273
3316,4,3316
2682,4,2682
3987,4,5691
5691,4,5691
1548,4,5691
3986,4,5691
3985,4,5691
454,4,454
359,4,359
1832,4,1832
5062,4,5062
1378,4,1378
3303,4,3706
3541,4,3706
3706,4,3706
655,4,655
6563,4,6563
5833,4,5833
4468,4,4468
3655,4,3655
7341,4,7341
c_34242feb,4,3334
3334,4,3334
c_e2de1ffd,4,3334
1527,4,3334
3336,4,3334
3335,4,3334
823,4,823
135,4,135
5728,4,5728
1704,4,1704
5277,4,5277
1416,4,1416
3959,4,3959
c_9fe65404,4,c_9fe65404
4152,4,4152
5809,4,5809
8453,4,5809
100,4,458
2881,4,458
2051,4,458
2086,4,458
458,4,458
3723,4,3723
48,4,48
2841,4,2841
3279,4,3279
5314,4,5314
1323,4,1323
3009,4,3009
4446,4,3009
4876,4,3009
2432,4,2432
434664,4,2432
5057,4,5057
5921,4,5921
1181,4,5921
c_41ef4cb8,4,5921
5731,4,5921
3375,4,5921
5894,4,5921
3372,4,5921
1070,4,1070
1379,4,1379
3054,4,3054
7375,4,3054
5483,4,5483
910,4,910
1342,4,1342
4399,4,4399
3231,4,3231
1394,4,1394
2046,4,2046
5527,4,2046
3274,4,3274
4496,4,4496
6297,4,4496
7871,4,7871
5078,4,5078
2447,4,2447
435196,4,435196
4701,4,3981
3975,4,3981
3976,4,3981
3981,4,3981
2159,4,2159
3449,4,3449
430,4,430
3007,4,3007
2130,4,2130
5526,4,2130
3708,4,2130
6767,4,6767
4359,4,4359
512,4,512
739,4,739
2655,4,2655
4966,4,4966
4793,4,4793
c_2f64fd66,4,c_2f64fd66
c_a6b5bad0,4,c_a6b5bad0
4455,4,4455
c_7dda56e2,4,4455
2987,4,2985
5227,4,2985
2357,4,2985
2985,4,2985
6745,4,6745
961,4,2318
4230,4,2318
2318,4,2318
172,4,172
627,4,627
6765,4,6765
4852,4,4852
c_e5d85c14,4,c_e5d85c14
435061,4,5973
4419,4,5973
3638,4,5973
5973,4,5973
3639,4,5973
4421,4,5973
3493,4,3493
2637,4,2637
7938,4,7938
c_2f00dd5a,4,c_2f00dd5a
7137,4,123
123,4,123
5156,4,5156
6848,4,6848
2103,4,2103
7851,4,7851
4353,4,4353
1796,4,1796
3851,4,3851
286,4,286
4444,4,4444
2196,4,2196
1588,4,1588
659,4,659
1030,4,1030
1406,4,1406
2670,4,2670
5120,4,5120
c_cbdf29ef,4,c_cbdf29ef
5746,4,5746
516,4,516
2614,4,2614
3883,4,1375
1375,4,1375
2228,4,1375
5502,4,5502
5642,4,5642
2907,4,2907
5297,4,3200
3200,4,3200
5456,4,5606
5115,4,5606
5815,4,5606
440265,4,5606
440238,4,5606
5606,4,5606
5816,4,5606
2809,4,5606
5524,4,5606
445178,4,5606
3087,4,5606
5203,4,5606
5822,4,5606
5511,4,5606
1901,4,1901
3243,4,3243
752,4,752
2787,4,2787
301,4,301
7195,4,7195
4221,4,4221
3324,4,3324
6893,4,6893
1348,4,1348
27,4,27
436,4,436
4623,4,4623
3039,4,3039
c_bb1a60eb,4,c_bb1a60eb
272,4,c_bb1a60eb
3386,4,3386
391,4,391
c_871b5612,4,c_871b5612
8300,4,8300
6350,4,6350
3863,4,3864
3864,4,3864
5574,4,5574
788,4,788
1239,4,1239
8396,4,8396
c_e4f135ba,4,c_e4f135ba
2315,4,2315
4181,4,4181
4109,4,4109
4201,4,4201
5298,4,2376
5299,4,2376
2376,4,2376
2633,4,2633
5591,4,5591
5541,4,5541
3634,4,3634
5958,4,5958
780,4,780
1555,4,1555
8384,4,8384
c_b605a1d4,4,8384
6058,4,8384
17,4,8384
6159,4,6159
323,4,323
235,4,235
4535,4,4535
2766,4,2766
736,4,736
3263,4,736
742,4,736
1040,4,1040
3194,4,3194
3446,4,3446
5232,4,5232
577,4,577
7976,4,7976
1318,4,1318
5056,4,5056
271,4,271
2439,4,c_be8fda35
2328,4,c_be8fda35
1666,4,c_be8fda35
c_be8fda35,4,c_be8fda35
1688,4,1688
3570,4,3570
504,4,504
3292,4,3292
3942,4,164
c_471a61cf,4,164
1129,4,164
1777,4,164
3475,4,164
437483,4,164
5493,4,164
6005,4,164
5492,4,164
1281,4,164
164,4,164
2183,4,2183
522,4,522
2513,4,2513
1376,4,1376
4070,4,4070
857,4,857
5795,4,5795
4839,4,4839
4834,4,847
851,4,847
5488,4,847
7359,4,847
847,4,847
5429,4,847
7959,4,847
4029,4,4029
5088,4,5088
3424,4,3424
2984,4,3424
252,4,252
1731,4,1731
2035,4,2035
5193,4,5191
5192,4,5191
5194,4,5191
5191,4,5191
4064,4,4064
4101,4,4101
7342,4,4101
2981,4,2981
3898,4,3898
4674,4,4674
968,4,968
2147,4,2147
1817,4,1817
5693,4,5693
3711,4,3711
c_7afb6cd4,4,c_7afb6cd4
3672,4,3672
6372,4,6372
4337,4,4337
2017,4,4337
2237,4,4337
2360,4,4337
4339,4,4337
4327,4,4337
1179,4,4337
4071,4,4071
1182,4,1182
5121,4,5121
5587,4,5587
5588,4,5587
3325,4,3325
2341,4,2341
2994,4,2994
1571,4,1571
3281,4,3281
1599,4,1599
1919,4,1919
7965,4,7965
661,4,661
2116,4,2116
7206,4,2116
3727,4,2116
6337,4,2116
3297,4,3297
2845,4,2845
1324,4,1324
4801,4,4801
2235,4,4801
8451,4,4801
3457,4,4801
50,4,50
6215,4,6215
3480,4,3480
1816,4,5729
5729,4,5729
4394,4,5729
7873,4,7873
3923,4,3923
3645,4,3645
1524,4,1524
4558,4,4558
796,4,796
881,4,881
3115,4,3115
5605,4,2527
2527,4,2527
7203,4,7203
2976,4,2976
5950,4,2976
782,4,782
5800,4,5800
6553,4,5800
7818,4,7818
839,4,839
2574,4,2574
4281,4,2713
2713,4,2713
5068,4,5068
5117,4,5068
2598,4,5068
4694,4,5068
3961,4,3961
1365,4,1365
1031,4,1031
4120,4,4120
1705,4,1705
4172,4,4172
3713,4,3713
2983,4,2983
228,4,2983
595,4,2983
808,4,2983
c_93670e37,4,c_93670e37
4398,4,4387
531,4,4387
2301,4,4387
2663,4,4387
4387,4,4387
8356,4,8356
4547,4,4547
8428,4,8428
1991,4,1991
1993,4,1991
1992,4,1991
3589,4,3589
8466,4,8466
5284,4,5284
4729,4,4729
463,4,463
5762,4,5762
2063,4,5048
5048,4,5048
7842,4,7842
8399,4,8399
2776,4,2776
1682,4,1682
1397,4,1397
4680,4,1397
4878,4,4878
2750,4,4878
4264,4,4264
6088,4,6088
6771,4,6088
7950,4,6088
8413,4,6088
6177,4,6088
6773,4,6088
6772,4,6088
6775,4,6088
443345,4,6088
c_324b44f1,4,6088
6907,4,6088
c_a17a2156,4,6088
6178,4,6088
6182,4,6088
7874,4,7874
1165,4,1165
5331,4,4651
4656,4,4651
467,4,4651
4655,4,4651
4652,4,4651
4654,4,4651
848,4,4651
4651,4,4651
3090,4,4651
468,4,4651
2433,4,4651
469,4,4651
4013,4,4013
2453,4,2453
5233,4,2076
2077,4,2076
5234,4,2076
2076,4,2076
5481,4,2076
3647,4,2076
6298,4,2076
5235,4,2076
3646,4,2076
3648,4,2076
5726,4,2076
1252,4,2076
4510,4,4510
4618,4,4618
822,4,822
7900,4,7900
432,4,432
5210,4,5210
5926,4,5844
5561,4,5844
4126,4,5844
5856,4,5844
5844,4,5844
103,4,103
1371,4,1371
2078,4,1590
1442,4,1590
1590,4,1590
1119,4,1119
4208,4,4208
2080,4,535
6401,4,535
535,4,535
5754,4,535
5975,4,5975
1512,4,1512
3918,4,3918
1065,4,1065
3322,4,3322
7845,4,7845
5396,4,4245
853,4,4245
1530,4,4245
3613,4,4245
5723,4,4245
c_d6ede0c7,4,4245
4245,4,4245
3338,4,4245
5766,4,4245
1701,4,1701
3016,4,3016
4959,4,4959
c_959c23de,4,c_959c23de
308,4,308
2624,4,2624
7979,4,7979
7377,4,7377
945,4,945
8435,4,945
2067,4,2067
3703,4,3703
1391,4,1391
7413,4,7413
5329,4,5329
1987,4,1987
688,4,688
3597,4,3597
2578,4,2578
7415,4,7415
5342,4,5342
2384,4,2384
4011,4,4011
3083,4,3083
2673,4,2673
8,4,8
290,4,290
5291,4,5291
5142,4,5142
2396,4,2396
4633,4,4633
3528,4,3528
3066,4,3066
2625,4,2625
3912,4,3912
5054,4,5054
4858,4,4858
7942,4,7942
3805,4,3801
3801,4,3801
2421,4,3801
3802,4,3801
2912,4,2912
678,4,678
5114,4,5114
3345,4,2410
2410,4,2410
4586,4,4586
4501,4,4501
8400,4,8400
4330,4,4330
5239,4,5239
3268,4,3268
4707,4,4707
4295,4,4295
3140,4,3140
1584,4,1584
1523,4,1523
3299,4,3299
c_6f7bbe63,4,3299
3588,4,3588
4173,4,4173
1878,4,1878
2757,4,2757
324,4,324
296,4,296
1034,4,1034
5774,4,5774
5706,4,5774
5709,4,5774
5619,4,5774
6343,4,6343
3745,4,3745
279,4,5092
275,4,5092
277,4,5092
267,4,5092
265,4,5092
266,4,5092
276,4,5092
5092,4,5092
264,4,5092
268,4,5092
1083,4,5092
2674,4,2674
6095,4,6091
6094,4,6091
6093,4,6091
6091,4,6091
1254,4,1254
2310,4,2310
5589,4,5937
5829,4,5937
5937,4,5937
5399,4,5937
1942,4,6231
6231,4,6231
4663,4,4663
6370,4,4663
4670,4,4663
4664,4,4663
4672,4,4663
4669,4,4663
4668,4,4663
4665,4,4663
3210,4,4663
4666,4,4663
4673,4,4663
6089,4,4663
4667,4,4663
1537,4,1537
642,4,642
1241,4,642
2945,4,642
1017,4,1017
7383,4,1017
2534,4,2534
5669,4,5669
2863,4,2863
5067,4,5067
2230,4,2230
2286,4,2286
715,4,715
434786,4,434786
3748,4,2270
2270,4,2270
2265,4,2270
3202,4,3202
4117,4,4117
4734,4,4734
5104,4,5104
4094,4,4094
781,4,781
7901,4,7901
3856,4,3856
5383,4,5383
6219,4,6219
c_6c4d5118,4,c_6c4d5118
6314,4,6314
3668,4,3668
2709,4,2725
3275,4,2725
6315,4,2725
2727,4,2725
2725,4,2725
4506,4,4506
2268,4,2268
4758,4,2268
1968,4,1968
2087,4,2087
878,4,878
2339,4,2339
3350,4,3350
c_5b447e3a,4,c_5b447e3a
6237,4,6237
4147,4,4147
2150,4,2150
648,4,648
2874,4,190
6891,4,190
2875,4,190
2876,4,190
1995,4,190
5830,4,190
2363,4,190
190,4,190
1481,4,190
6328,4,6328
304,4,3656
3656,4,3656
4760,4,4760
1068,4,1068
2721,4,2721
4287,4,2721
2336,4,5777
1500,4,5777
2866,4,5777
4523,4,5777
4572,4,5777
1501,4,5777
2899,4,5777
4592,4,5777
5777,4,5777
726,4,5777
4154,4,5777
1560,4,5777
1121,4,5777
503,4,5777
2138,4,5777
8537,4,8497
8534,4,8497
8538,4,8497
8535,4,8497
8497,4,8497
8536,4,8497
6300,4,923
923,4,923
1966,4,1966
1077,4,1077
6326,4,6326
6327,4,6326
3409,4,3409
8421,4,381
8424,4,381
8422,4,381
381,4,381
8423,4,381
1201,4,1201
1,4,1
5248,4,5248
2275,4,2275
4253,4,4253
2529,4,2530
2530,4,2530
2535,4,2530
916,4,2530
2533,4,2530
7222,4,7222
6319,4,152
152,4,152
4766,4,4766
1667,4,1667
3850,4,3850
c_96124aaf,4,c_96124aaf
5986,4,2550
2550,4,2550
2553,4,2550
2552,4,2550
888,4,888
c_03f9a8ac,4,c_03f9a8ac
2422,4,2422
312,4,312
724,4,724
934,4,724
1205,4,1205
8521,4,8495
8525,4,8495
8527,4,8495
8524,4,8495
8526,4,8495
8523,4,8495
8522,4,8495
8495,4,8495
1335,4,1335
7869,4,7869
3848,4,3744
3744,4,3744
3527,4,5940
5941,4,5940
3552,4,5940
5940,4,5940
6718,4,5940
4544,4,5940
4548,4,5940
6131,4,6131
2571,4,2571
6116,4,6116
431,4,431
4872,4,4872
1461,4,4872
858,4,858
5372,4,5372
1899,4,1899
1168,4,1168
5212,4,5212
2036,4,2034
2096,4,2034
2034,4,2034
505,4,2034
1332,4,1392
1392,4,1392
8465,4,8465
2643,4,2643
1435,4,1435
29,4,29
2081,4,2081
3250,4,3250
5015,4,4983
4983,4,4983
68,4,68
1055,4,1055
533,4,533
5031,4,5031
4194,4,4194
451069,4,451069
1352,4,1352
3909,4,3909
5155,4,5155
6535,4,6535
3139,4,3139
3447,4,3447
4344,4,4344
4603,4,4344
4437,4,4344
3086,4,3086
6909,4,6909
4143,4,4143
398,4,398
1896,4,1896
7980,4,7980
973,4,973
844,4,844
789,4,789
969,4,969
1782,4,1782
1448,4,2579
2579,4,2579
4178,4,5885
5885,4,5885
6736,4,6736
6321,4,6321
6787,4,6787
4318,4,4318
4020,4,4020
5064,4,5064
3208,4,3208
4499,4,4499
7870,4,7870
2980,4,2980
2501,4,2501
3305,4,2501
2405,4,2405
4675,4,4675
c_b3d1a308,4,4675
c_441fb0c4,4,4675
c_0e4239f5,4,4675
5226,4,5226
6233,4,6233
2176,4,2176
c_d02647e2,4,5196
437539,4,5196
5196,4,5196
3021,4,2013
2883,4,2013
4432,4,2013
3015,4,2013
3012,4,2013
2599,4,2013
5179,4,2013
5320,4,2013
5189,4,2013
4428,4,2013
5808,4,2013
3014,4,2013
2600,4,2013
3019,4,2013
2013,4,2013
395,4,2013
498,4,498
3230,4,3230
6920,4,6920
2173,4,2173
755,4,2173
6048,4,2173
870,4,2173
412,4,412
2065,4,2065
5354,4,5354
1082,4,5097
2796,4,5097
5097,4,5097
2808,4,5097
1359,4,5097
1013,4,5097
2000,4,2000
2893,4,2893
1539,4,1539
6252,4,6252
3076,4,3076
892,4,892
6394,4,892
4580,4,4580
2145,4,2145
4144,4,4144
1605,4,1605
120,4,120
4373,4,4373
373,4,373
5243,4,5243
4188,4,4188
1813,4,1813
967,4,967
3103,4,4379
5213,4,4379
4386,4,4379
4382,4,4379
1099,4,4379
4378,4,4379
2865,4,4379
3269,4,4379
2671,4,4379
5215,4,4379
4379,4,4379
3266,4,4379
2641,4,4379
5214,4,4379
1333,4,1333
8449,4,8449
1385,4,1385
7983,4,7983
8458,4,8458
4708,4,4708
2399,4,2399
6293,4,2399
5629,4,5629
c_c4c48e5c,4,5629
5491,4,5629
6286,4,5629
5834,4,5629
3546,4,3546
6897,4,6897
6412,4,6412
4631,4,4631
4443,4,4443
5880,4,5880
374,4,374
6739,4,374
375,4,374
6743,4,374
6618,4,6618
3473,4,3473
1285,4,1285
7373,4,7373
4645,4,4645
7987,4,7987
c_7546272f,4,3943
5933,4,3943
6616,4,3943
3945,4,3943
5428,4,3943
6613,4,3943
5659,4,3943
4727,4,3943
3950,4,3943
3943,4,3943
5572,4,3943
6132,4,3943
1251,4,3943
1085,4,1085
793,4,793
2681,4,2681
c_9829e6b7,4,c_9829e6b7
2074,4,2074
3958,4,3958
23,4,3709
3709,4,3709
8386,4,3709
1674,4,1672
960,4,1672
1672,4,1672
7340,4,7340
7977,4,7977
2121,4,2121
3408,4,3408
3308,4,3408
541,4,541
5447,4,5447
c_12742da8,4,c_12742da8
5461,4,5928
5928,4,5928
c_7d7608fa,4,c_7d7608fa
8417,4,8417
203,4,203
6251,4,6251
3720,4,3720
835,4,835
3030,4,3030
2438,4,2718
2718,4,2718
5689,4,5689
c_7cbc24fd,4,c_7cbc24fd
1230,4,1230
5687,4,5687
5326,4,3468
3468,4,3468
434004,4,3468
434056,4,3468
3472,4,3468
201,4,3468
2745,4,2745
3357,4,3357
2211,4,2211
5542,4,5542
c_4523e1dd,4,c_4523e1dd
1681,4,1681
2580,4,2580
2969,4,2969
6309,4,2969
6322,4,6322
3248,4,3248
5356,4,5356
6766,4,6766
5946,4,5946
2547,4,2547
6414,4,6414
2021,4,2021
991,4,991
3207,4,3207
4310,4,1010
3267,4,1010
287,4,1010
3568,4,1010
1006,4,1010
1010,4,1010
4008,4,4008
5886,4,4008
4761,4,4761
7385,4,7385
5490,4,5490
1600,4,5490
6173,4,6173
2696,4,2696
1130,4,1130
3615,4,3615
5563,4,5563
4139,4,4139
2226,4,2226
3534,4,3534
3619,4,3619
2712,4,3619
282,4,282
749,4,749
7944,4,7944
4082,4,4082
2898,4,220
1467,4,220
220,4,220
1938,4,1938
4297,4,4297
3585,4,3585
